transaction_id,date,year,month,quarter,client_name,project_name,service_category,project_type,location,amount,cost,profit,profit_margin,status,payment_status,payment_method,duration_days,project_manager,source_note
GTX-2024-0033,2024-04-13,2024,2024-04,Q2,Pampanga Medical Suites,Panel Board Installation - Pampanga Medical Suites,General Electrical Works,Panel Board Installation,Laguna,1880000,1455000,425000,0.2261,Completed,Partially Paid,Online Transfer,246,Santos,Simulated Gigatech-style data for academic dashboard use; patterned after construction/engineering service categories
GTX-2024-0034,2024-04-14,2024,2024-04,Q2,NCR Office Suites,Access Control Installation - NCR Office Suites,Auxiliary Works,Access Control Installation,Muntinlupa City,370000,275000,95000,0.2568,For Billing,Unpaid,Cash Deposit,185,Mendoza,Simulated Gigatech-style data for academic dashboard use; patterned after construction/engineering service categories
GTX-2024-0035,2024-04-15,2024,2024-04,Q2,Batangas Manufacturing Plant,CCTV and Structured Cabling - Batangas Manufacturing Plant,Auxiliary Works,CCTV and Structured Cabling,Cebu City,675000,520000,155000,0.2296,Delayed,Partially Paid,Progress Billing,97,Reyes,Simulated Gigatech-style data for academic dashboard use; patterned after construction/engineering service categories
GTX-2024-0036,2024-04-15,2024,2024-04,Q2,Quezon City Estate Group,Ducting and Ventilation Works - Quezon City Estate Group,HVAC Works,Ducting and Ventilation Works,Batangas,3075000,2315000,760000,0.2472,Completed,Paid,Online Transfer,205,Mendoza,Simulated Gigatech-style data for academic dashboard use; patterned after construction/engineering service categories
GTX-2024-0037,2024-04-18,2024,2024-04,Q2,Muntinlupa Town Center,Condo Common Area Renovation - Muntinlupa Town Center,Renovation and Rehabilitation,Condo Common Area Renovation,Las Pinas City,975000,690000,285000,0.2923,Completed,Paid,Progress Billing,171,Garcia,Simulated Gigatech-style data for academic dashboard use; patterned after construction/engineering service categories
GTX-2024-0038,2024-04-26,2024,2024-04,Q2,Laguna Industrial Park,Commercial Space Renovation - Laguna Industrial Park,Renovation and Rehabilitation,Commercial Space Renovation,Ortigas Center,1085000,795000,290000,0.2673,For Billing,Partially Paid,Cash Deposit,393,Villanueva,Simulated Gigatech-style data for academic dashboard use; patterned after construction/engineering service categories
GTX-2024-0039,2024-04-27,2024,2024-04,Q2,Las Pinas Residences,Sprinkler System Installation - Las Pinas Residences,Fire Protection Works,Sprinkler System Installation,Pasay City,2380000,1985000,395000,0.166,Completed,Partially Paid,Cash Deposit,377,Garcia,Simulated Gigatech-style data for academic dashboard use; patterned after construction/engineering service categories
GTX-2024-0040,2024-04-28,2024,2024-04,Q2,Makati Business Tower,Plumbing Line Installation - Makati Business Tower,Plumbing and Sanitary Works,Plumbing Line Installation,Pampanga,1740000,1235000,505000,0.2902,Completed,Paid,Progress Billing,364,Dela Cruz,Simulated Gigatech-style data for academic dashboard use; patterned after construction/engineering service categories
GTX-2024-0041,2024-04-30,2024,2024-04,Q2,South Luzon Warehousing,Mechanical Equipment Installation - South Luzon Warehousing,Mechanical Works,Mechanical Equipment Installation,Manila,1775000,1435000,340000,0.1915,Completed,Paid,Online Transfer,202,Flores,Simulated Gigatech-style data for academic dashboard use; patterned after construction/engineering service categories
GTX-2024-0042,2024-05-05,2024,2024-05,Q2,Metro Build Corporation,Building Renovation - Metro Build Corporation,Architectural Works,Building Renovation,Mandaue City,960000,720000,240000,0.25,Completed,Partially Paid,Bank Transfer,143,Cruz,Simulated Gigatech-style data for academic dashboard use; patterned after construction/engineering service categories
GTX-2024-0043,2024-05-06,2024,2024-05,Q2,Cebu Realty Ventures,Generator and Transfer Switch Works - Cebu Realty Ventures,General Electrical Works,Generator and Transfer Switch Works,Mandaue City,2610000,1880000,730000,0.2797,Completed,Paid,Check Payment,381,Cruz,Simulated Gigatech-style data for academic dashboard use; patterned after construction/engineering service categories
GTX-2024-0044,2024-05-07,2024,2024-05,Q2,Manila School Foundation,Sprinkler System Installation - Manila School Foundation,Fire Protection Works,Sprinkler System Installation,Tarlac,2375000,1725000,650000,0.2737,Completed,Paid,Cash Deposit,179,Santos,Simulated Gigatech-style data for academic dashboard use; patterned after construction/engineering service categories
GTX-2024-0045,2024-05-11,2024,2024-05,Q2,Cebu Condo Board,MEPFS Rough-in Works - Cebu Condo Board,MEPFS Works,MEPFS Rough-in Works,Makati City,5370000,4345000,1025000,0.1909,Completed,Paid,Progress Billing,32,Dela Cruz,Simulated Gigatech-style data for academic dashboard use; patterned after construction/engineering service categories
GTX-2024-0046,2024-05-14,2024,2024-05,Q2,NCR Office Suites,Condominium Structural Package - NCR Office Suites,Structural Works,Condominium Structural Package,Muntinlupa City,4890000,3630000,1260000,0.2577,For Billing,Unpaid,Progress Billing,303,Santos,Simulated Gigatech-style data for academic dashboard use; patterned after construction/engineering service categories
GTX-2024-0047,2024-05-22,2024,2024-05,Q2,Paranaque Logistics Hub,MEPFS Package for Commercial Building - Paranaque Logistics Hub,MEPFS Works,MEPFS Package for Commercial Building,Las Pinas City,5895000,4580000,1315000,0.2231,Completed,Paid,Online Transfer,147,Santos,Simulated Gigatech-style data for academic dashboard use; patterned after construction/engineering service categories
GTX-2024-0048,2024-05-22,2024,2024-05,Q2,Greenfield Developers,Foundation and Column Works - Greenfield Developers,Structural Works,Foundation and Column Works,Mandaue City,5440000,4525000,915000,0.1682,Completed,Paid,Progress Billing,113,Garcia,Simulated Gigatech-style data for academic dashboard use; patterned after construction/engineering service categories
GTX-2024-0049,2024-05-23,2024,2024-05,Q2,BGC Hotel Group,Condominium Structural Package - BGC Hotel Group,Structural Works,Condominium Structural Package,BGC Taguig,3115000,2610000,505000,0.1621,Completed,Paid,Cash Deposit,104,Torres,Simulated Gigatech-style data for academic dashboard use; patterned after construction/engineering service categories
GTX-2024-0050,2024-05-24,2024,2024-05,Q2,Tarlac Industrial Estate,Ventilation System Works - Tarlac Industrial Estate,Mechanical Works,Ventilation System Works,Paranaque City,1890000,1430000,460000,0.2434,Completed,Partially Paid,Cash Deposit,408,Villanueva,Simulated Gigatech-style data for academic dashboard use; patterned after construction/engineering service categories
GTX-2024-0051,2024-05-24,2024,2024-05,Q2,Quezon City Estate Group,Drainage and Road Works - Quezon City Estate Group,Civil Works,Drainage and Road Works,Makati City,1205000,1000000,205000,0.1701,For Billing,Unpaid,Online Transfer,45,Garcia,Simulated Gigatech-style data for academic dashboard use; patterned after construction/engineering service categories
GTX-2024-0052,2024-05-27,2024,2024-05,Q2,Pasay Commercial Center,Panel Board Installation - Pasay Commercial Center,General Electrical Works,Panel Board Installation,Rizal,2725000,2260000,465000,0.1706,For Billing,Unpaid,Check Payment,375,Villanueva,Simulated Gigatech-style data for academic dashboard use; patterned after construction/engineering service categories
GTX-2024-0053,2024-06-01,2024,2024-06,Q2,Cebu Realty Ventures,Network and Communication Works - Cebu Realty Ventures,Auxiliary Works,Network and Communication Works,Tarlac,1105000,800000,305000,0.276,Completed,Paid,Check Payment,99,Reyes,Simulated Gigatech-style data for academic dashboard use; patterned after construction/engineering service categories
GTX-2024-0054,2024-06-03,2024,2024-06,Q2,Metro Build Corporation,Electrical System Upgrade - Metro Build Corporation,General Electrical Works,Electrical System Upgrade,Pampanga,3200000,2490000,710000,0.2219,Completed,Paid,Check Payment,82,Santos,Simulated Gigatech-style data for academic dashboard use; patterned after construction/engineering service categories
GTX-2024-0055,2024-06-04,2024,2024-06,Q2,Mandaue Commercial Hub,Network and Communication Works - Mandaue Commercial Hub,Auxiliary Works,Network and Communication Works,Tarlac,1065000,695000,370000,0.3474,Completed,Paid,Online Transfer,347,Dela Cruz,Simulated Gigatech-style data for academic dashboard use; patterned after construction/engineering service categories
GTX-2024-0056,2024-06-11,2024,2024-06,Q2,Taguig Condo Association,Generator and Transfer Switch Works - Taguig Condo Association,General Electrical Works,Generator and Transfer Switch Works,Mandaue City,2035000,1430000,605000,0.2973,Completed,Paid,Online Transfer,36,Torres,Simulated Gigatech-style data for academic dashboard use; patterned after construction/engineering service categories
GTX-2024-0057,2024-06-15,2024,2024-06,Q2,Cebu Condo Board,HVAC System Upgrade - Cebu Condo Board,HVAC Works,HVAC System Upgrade,Paranaque City,715000,525000,190000,0.2657,Completed,Partially Paid,Cash Deposit,402,Santos,Simulated Gigatech-style data for academic dashboard use; patterned after construction/engineering service categories
GTX-2024-0058,2024-06-15,2024,2024-06,Q2,Quezon City Estate Group,Water Supply System Works - Quezon City Estate Group,Plumbing and Sanitary Works,Water Supply System Works,Quezon City,2325000,1705000,620000,0.2667,Completed,Paid,Check Payment,358,Villanueva,Simulated Gigatech-style data for academic dashboard use; patterned after construction/engineering service categories
GTX-2024-0059,2024-06-17,2024,2024-06,Q2,Cavite Landholdings,Steel Framing Works - Cavite Landholdings,Structural Works,Steel Framing Works,Iloilo City,3995000,3185000,810000,0.2028,Completed,Paid,Online Transfer,402,Mendoza,Simulated Gigatech-style data for academic dashboard use; patterned after construction/engineering service categories
GTX-2024-0060,2024-06-23,2024,2024-06,Q2,Northpoint Realty,Commercial Unit Fit-Out - Northpoint Realty,Fit-Out Works,Commercial Unit Fit-Out,Iloilo City,905000,670000,235000,0.2597,Completed,Paid,Cash Deposit,294,Cruz,Simulated Gigatech-style data for academic dashboard use; patterned after construction/engineering service categories
GTX-2024-0061,2024-06-25,2024,2024-06,Q2,BGC Hotel Group,CCTV and Structured Cabling - BGC Hotel Group,Auxiliary Works,CCTV and Structured Cabling,Batangas,1200000,870000,330000,0.275,Completed,Unpaid,Check Payment,274,Cruz,Simulated Gigatech-style data for academic dashboard use; patterned after construction/engineering service categories
GTX-2024-0062,2024-06-25,2024,2024-06,Q2,Caloocan Warehouse Group,Fire Protection System Upgrade - Caloocan Warehouse Group,Fire Protection Works,Fire Protection System Upgrade,Quezon City,1535000,1195000,340000,0.2215,For Billing,Partially Paid,Progress Billing,122,Dela Cruz,Simulated Gigatech-style data for academic dashboard use; patterned after construction/engineering service categories
GTX-2024-0063,2024-06-29,2024,2024-06,Q2,Northpoint Realty,Integrated Building Services Package - Northpoint Realty,MEPFS Works,Integrated Building Services Package,Pasay City,5575000,4360000,1215000,0.2179,Completed,Paid,Online Transfer,184,Flores,Simulated Gigatech-style data for academic dashboard use; patterned after construction/engineering service categories
GTX-2024-0064,2024-07-05,2024,2024-07,Q3,Pasay Commercial Center,Perimeter Fence Works - Pasay Commercial Center,Civil Works,Perimeter Fence Works,Davao City,5125000,4310000,815000,0.159,Completed,Paid,Bank Transfer,414,Garcia,Simulated Gigatech-style data for academic dashboard use; patterned after construction/engineering service categories
GTX-2024-0065,2024-07-05,2024,2024-07,Q3,Pampanga Medical Suites,Commercial Space Renovation - Pampanga Medical Suites,Renovation and Rehabilitation,Commercial Space Renovation,Cebu City,1370000,1145000,225000,0.1642,Completed,Paid,Check Payment,121,Santos,Simulated Gigatech-style data for academic dashboard use; patterned after construction/engineering service categories
GTX-2024-0066,2024-07-07,2024,2024-07,Q3,South Luzon Warehousing,Painting and Finishing Package - South Luzon Warehousing,Architectural Works,Painting and Finishing Package,Pampanga,2095000,1485000,610000,0.2912,Completed,Partially Paid,Online Transfer,379,Garcia,Simulated Gigatech-style data for academic dashboard use; patterned after construction/engineering service categories
GTX-2024-0067,2024-07-10,2024,2024-07,Q3,Cebu Condo Board,Fire Line Repair Works - Cebu Condo Board,Fire Protection Works,Fire Line Repair Works,Las Pinas City,2165000,1730000,435000,0.2009,Completed,Partially Paid,Online Transfer,294,Torres,Simulated Gigatech-style data for academic dashboard use; patterned after construction/engineering service categories
GTX-2024-0068,2024-07-11,2024,2024-07,Q3,Paranaque Logistics Hub,Fire Protection System Upgrade - Paranaque Logistics Hub,Fire Protection Works,Fire Protection System Upgrade,Iloilo City,2735000,2020000,715000,0.2614,For Billing,Unpaid,Check Payment,268,Flores,Simulated Gigatech-style data for academic dashboard use; patterned after construction/engineering service categories
GTX-2024-0069,2024-07-22,2024,2024-07,Q3,Taguig Condo Association,Lighting and Wiring Package - Taguig Condo Association,General Electrical Works,Lighting and Wiring Package,Cavite,750000,590000,160000,0.2133,Completed,Paid,Bank Transfer,193,Ramos,Simulated Gigatech-style data for academic dashboard use; patterned after construction/engineering service categories
GTX-2024-0070,2024-07-23,2024,2024-07,Q3,Caloocan Warehouse Group,Interior Finishing Works - Caloocan Warehouse Group,Architectural Works,Interior Finishing Works,BGC Taguig,2095000,1510000,585000,0.2792,Completed,Paid,Progress Billing,35,Villanueva,Simulated Gigatech-style data for academic dashboard use; patterned after construction/engineering service categories
GTX-2024-0071,2024-07-23,2024,2024-07,Q3,Quezon City Estate Group,MEPFS Rough-in Works - Quezon City Estate Group,MEPFS Works,MEPFS Rough-in Works,Batangas,5860000,4605000,1255000,0.2142,Completed,Unpaid,Cash Deposit,184,Villanueva,Simulated Gigatech-style data for academic dashboard use; patterned after construction/engineering service categories
GTX-2024-0072,2024-07-25,2024,2024-07,Q3,Rizal Housing Cooperative,Lighting and Wiring Package - Rizal Housing Cooperative,General Electrical Works,Lighting and Wiring Package,Batangas,3735000,2555000,1180000,0.3159,Completed,Partially Paid,Cash Deposit,100,Santos,Simulated Gigatech-style data for academic dashboard use; patterned after construction/engineering service categories
GTX-2024-0073,2024-07-29,2024,2024-07,Q3,Mandaue Commercial Hub,Sprinkler System Installation - Mandaue Commercial Hub,Fire Protection Works,Sprinkler System Installation,Cebu City,1640000,1355000,285000,0.1738,Completed,Paid,Bank Transfer,396,Villanueva,Simulated Gigatech-style data for academic dashboard use; patterned after construction/engineering service categories
GTX-2024-0074,2024-08-04,2024,2024-08,Q3,Mandaue Commercial Hub,Integrated Building Services Package - Mandaue Commercial Hub,MEPFS Works,Integrated Building Services Package,Davao City,7170000,5925000,1245000,0.1736,Completed,Partially Paid,Progress Billing,199,Flores,Simulated Gigatech-style data for academic dashboard use; patterned after construction/engineering service categories
GTX-2024-0075,2024-08-06,2024,2024-08,Q3,Mandaue Commercial Hub,Plumbing Line Installation - Mandaue Commercial Hub,Plumbing and Sanitary Works,Plumbing Line Installation,Pasay City,1885000,1390000,495000,0.2626,Completed,Paid,Progress Billing,102,Santos,Simulated Gigatech-style data for academic dashboard use; patterned after construction/engineering service categories
GTX-2024-0076,2024-08-13,2024,2024-08,Q3,Cebu Condo Board,Access Control Installation - Cebu Condo Board,Auxiliary Works,Access Control Installation,Cebu City,1400000,960000,440000,0.3143,Completed,Paid,Cash Deposit,229,Garcia,Simulated Gigatech-style data for academic dashboard use; patterned after construction/engineering service categories
GTX-2024-0077,2024-08-14,2024,2024-08,Q3,Metro Build Corporation,MEPFS Rough-in Works - Metro Build Corporation,MEPFS Works,MEPFS Rough-in Works,Iloilo City,6035000,4800000,1235000,0.2046,Completed,Paid,Progress Billing,228,Villanueva,Simulated Gigatech-style data for academic dashboard use; patterned after construction/engineering service categories
GTX-2024-0078,2024-08-18,2024,2024-08,Q3,Davao Retail Center,Integrated Building Services Package - Davao Retail Center,MEPFS Works,Integrated Building Services Package,Bulacan,1740000,1230000,510000,0.2931,Completed,Paid,Check Payment,247,Torres,Simulated Gigatech-style data for academic dashboard use; patterned after construction/engineering service categories
GTX-2024-0079,2024-08-23,2024,2024-08,Q3,Tarlac Industrial Estate,Fire Pump and FDAS Integration - Tarlac Industrial Estate,Fire Protection Works,Fire Pump and FDAS Integration,Davao City,2705000,2045000,660000,0.244,For Billing,Partially Paid,Progress Billing,394,Cruz,Simulated Gigatech-style data for academic dashboard use; patterned after construction/engineering service categories
GTX-2024-0080,2024-08-25,2024,2024-08,Q3,Pampanga Medical Suites,Air Conditioning System Installation - Pampanga Medical Suites,HVAC Works,Air Conditioning System Installation,Pampanga,3515000,2650000,865000,0.2461,Completed,Partially Paid,Progress Billing,37,Villanueva,Simulated Gigatech-style data for academic dashboard use; patterned after construction/engineering service categories
GTX-2024-0081,2024-08-25,2024,2024-08,Q3,Pasay Commercial Center,Network and Communication Works - Pasay Commercial Center,Auxiliary Works,Network and Communication Works,Tarlac,1240000,815000,425000,0.3427,Completed,Paid,Bank Transfer,91,Torres,Simulated Gigatech-style data for academic dashboard use; patterned after construction/engineering service categories
GTX-2024-0082,2024-08-26,2024,2024-08,Q3,Metro Build Corporation,Painting and Finishing Package - Metro Build Corporation,Architectural Works,Painting and Finishing Package,Bulacan,1190000,955000,235000,0.1975,Completed,Paid,Check Payment,21,Ramos,Simulated Gigatech-style data for academic dashboard use; patterned after construction/engineering service categories
GTX-2024-0083,2024-08-27,2024,2024-08,Q3,Makati Business Tower,Network and Communication Works - Makati Business Tower,Auxiliary Works,Network and Communication Works,Pampanga,1585000,1300000,285000,0.1798,Completed,Paid,Progress Billing,125,Flores,Simulated Gigatech-style data for academic dashboard use; patterned after construction/engineering service categories
GTX-2024-0084,2024-08-28,2024,2024-08,Q3,Bulacan Builders Group,MEPFS Package for Commercial Building - Bulacan Builders Group,MEPFS Works,MEPFS Package for Commercial Building,Cebu City,1635000,1320000,315000,0.1927,Completed,Paid,Online Transfer,358,Ramos,Simulated Gigatech-style data for academic dashboard use; patterned after construction/engineering service categories
GTX-2024-0085,2024-09-07,2024,2024-09,Q3,Batangas Manufacturing Plant,Fire Pump and FDAS Integration - Batangas Manufacturing Plant,Fire Protection Works,Fire Pump and FDAS Integration,Las Pinas City,1880000,1500000,380000,0.2021,For Billing,Unpaid,Check Payment,118,Flores,Simulated Gigatech-style data for academic dashboard use; patterned after construction/engineering service categories
